,car,model,origin
163,toyota cressida,81,3
34,ford thunderbird,77,1
140,plymouth reliant,81,1
95,vw rabbit custom,79,2
65,buick regal sport coupe (turbo),78,1
93,chevrolet malibu classic (sw),79,1
106,fiat strada custom,79,2
170,chevrolet cavalier wagon,82,1
53,mercury monarch ghia,78,1
98,amc spirit dl,79,1
11,peugeot 504,76,2
56,ford fairmont (auto),78,1
39,chevrolet chevette,77,1
169,chevrolet cavalier,82,1
32,chevrolet monte carlo landau,77,1
130,mercedes-benz 240d,80,2
44,bmw 320i,77,2
121,mazda 626,80,3
19,buick opel isuzu deluxe,77,1
191,ford granada l,82,1
183,honda accord,82,3
0,honda civic,76,3
8,ford pinto,76,1
18,honda accord cvcc,77,3
15,chevy c10,76,1
139,honda accord,80,3
64,chevrolet monte carlo landau,78,1
50,honda civic cvcc,78,3
41,subaru dl,77,3
151,mazda glc 4,81,3
171,chevrolet cavalier 2-door,82,1
194,chevrolet camaro,82,1
20,renault 5 gtl,77,2
38,ford mustang ii 2+2,77,1
71,dodge omni,78,1
63,amc concord d/l,78,1
68,chevrolet chevette,78,1
145,toyota starlet,81,3
147,honda civic 1300,81,3
99,mercedes benz 300d,79,2
87,chevrolet caprice classic,79,1
30,ford granada,77,1
86,dodge aspen 6,79,1
23,chevrolet caprice classic,77,1
97,dodge colt hatchback custom,79,1
70,datsun 510,78,3
185,honda civic,82,3
21,plymouth arrow gs,77,1
129,audi 5000s (diesel),80,2
113,chevrolet chevette,80,1
155,volkswagen jetta,81,2
152,plymouth horizon 4,81,1
112,toyota corolla tercel,80,3
158,toyota corolla,81,3
54,pontiac phoenix lj,78,1
115,chevrolet citation,80,1
69,toyota corona,78,3
125,dodge colt,80,1
105,datsun 210,79,3
108,chevrolet citation,79,1
175,ford fairmont futura,82,1
74,oldsmobile starfire sx,78,1
66,ford futura,78,1
117,amc concord,80,1
138,ford mustang cobra,80,1
36,pontiac sunbird coupe,77,1
94,chrysler lebaron town @ country (sw),79,1
143,chevrolet citation,81,1
199,chevy s-10,82,1
52,dodge diplomat,78,1
46,volkswagen rabbit custom diesel,78,2
193,dodge charger 2.2,82,1
172,pontiac j2000 se hatchback,82,1
14,cadillac seville,76,1
91,buick estate wagon (sw),79,1
144,plymouth reliant,81,1
37,toyota corolla liftback,77,3
111,vw rabbit,80,2
10,plymouth volare premier v8,76,1
188,buick century limited,82,1
57,ford fairmont (man),78,1
164,datsun 810 maxima,81,3
82,pontiac lemans v6,79,1
190,chrysler lebaron medallion,82,1
157,honda prelude,81,3
67,dodge magnum xe,78,1
119,audi 4000,80,2
81,honda accord lx,78,3
43,datsun 810,77,3
42,volkswagen dasher,77,2
2,ford granada ghia,76,1
133,subaru dl,80,3
88,ford ltd landau,79,1
89,mercury grand marquis,79,1
13,mercedes-benz 280s,76,2
128,vw dasher (diesel),80,2
142,dodge aries wagon (sw),81,1
124,mazda glc,80,3
3,pontiac ventura sj,76,1
131,honda civic 1500 gl,80,3
84,ford fairmont 4,79,1
148,subaru,81,3
73,plymouth sapporo,78,1
72,toyota celica gt liftback,78,3
47,ford fiesta,78,1
62,dodge aspen,78,1
153,ford escort 4w,81,1
80,volkswagen scirocco,78,2
184,toyota corolla,82,3
114,datsun 310,80,3
79,peugeot 604sl,78,2
186,honda civic (auto),82,3
126,datsun 210,80,3
92,ford country squire (sw),79,1
118,dodge aspen,80,1
181,mercury lynx l,82,1
179,mazda glc custom,82,3
173,dodge aries se,82,1
109,oldsmobile omega brougham,79,1
40,dodge colt m/m,77,1
165,buick century,81,1
149,datsun 210 mpg,81,3
166,oldsmobile cutlass ls,81,1
100,cadillac eldorado,79,1
160,mazda 626,81,3
127,vw rabbit c (diesel),80,2
85,amc concord dl 6,79,1
178,mazda glc custom l,82,3
168,chrysler lebaron salon,81,1
136,mazda rx-7 gs,80,3
96,maxda glc deluxe,79,3
60,buick century special,78,1
12,toyota mark ii,76,3
107,buick skylark limited,79,1
90,dodge st. regis,79,1
29,plymouth volare custom,77,1
116,ford fairmont,80,1
5,volkswagen rabbit,76,2
102,oldsmobile cutlass salon brougham,79,1
187,datsun 310 gx,82,3
55,chevrolet malibu,78,1
31,pontiac grand prix lj,77,1
196,vw pickup,82,2
176,amc concord dl,82,1
59,amc concord,78,1
101,peugeot 504,79,2
189,oldsmobile cutlass ciera (diesel),82,1
9,volvo 245,76,2
150,toyota tercel,81,3
51,oldsmobile cutlass salon brougham,78,1
195,ford mustang gl,82,1
141,buick skylark,81,1
17,dodge d100,76,1
61,mercury zephyr,78,1
177,volkswagen rabbit l,82,2
162,volvo diesel,81,2
146,plymouth champ,81,1
83,mercury zephyr 6,79,1
75,datsun 200-sx,78,3
24,oldsmobile cutlass supreme,77,1
45,mazda rx-4,77,3
25,dodge monaco brougham,77,1
33,chrysler cordoba,77,1
198,ford ranger,82,1
7,toyota corolla,76,3
76,audi 5000,78,2
26,mercury cougar brougham,77,1
35,volkswagen rabbit custom,77,2
28,buick skylark,77,1
161,peugeot 505s turbo diesel,81,2
180,plymouth horizon miser,82,1
6,datsun b-210,76,3
58,plymouth volare,78,1
182,nissan stanza xe,82,3
132,renault lecar deluxe,80,2
78,saab 99gle,78,2
48,mazda glc deluxe,78,3
135,datsun 280-zx,80,3
123,toyota corolla,80,3
197,dodge rampage,82,1
103,plymouth horizon,79,1
174,pontiac phoenix,82,1
27,chevrolet concours,77,1
192,toyota celica gt,82,3
4,amc pacer d/l,76,1
154,ford escort 2h,81,1
156,renault 18i,81,2
134,vokswagen rabbit,80,2
104,plymouth horizon tc3,79,1
110,pontiac phoenix,79,1
1,dodge aspen se,76,1
120,toyota corona liftback,80,3
22,datsun f-10 hatchback,77,3
122,datsun 510 hatchback,80,3
16,ford f108,76,1
137,triumph tr7 coupe,80,2
49,datsun b210 gx,78,3
167,ford granada gl,81,1
77,volvo 264gl,78,2
159,datsun 200sx,81,3
